Type,Intervals,ClockTime
2,24,2799.000000
0,25,460.000000
1,25,2780.000000
2,25,3133.000000
0,26,517.000000
1,26,3156.000000
2,26,3454.000000
0,27,529.000000
1,27,3473.000000
2,27,3726.000000
0,28,517.000000
1,28,3847.000000
2,28,4208.000000
0,29,575.000000
1,29,4191.000000
2,29,4594.000000
0,30,564.000000
1,30,4548.000000
2,30,4934.000000
0,31,621.000000
1,31,4948.000000
2,31,5394.000000
0,32,611.000000
1,32,5775.000000
2,32,6341.000000
0,33,645.000000
1,33,6341.000000
2,33,11267.000000
0,34,1647.000000
1,34,12135.000000
2,34,16107.000000
0,35,1624.000000
1,35,7191.000000
2,35,8124.000000
0,36,684.000000
1,36,7621.000000
2,36,7951.000000
0,37,729.000000
1,37,8148.000000
2,37,8619.000000
0,38,746.000000
1,38,8766.000000
2,38,9209.000000
0,39,746.000000
1,39,9451.000000
2,39,10312.000000
0,40,802.000000
1,40,10180.000000
2,40,10822.000000
0,41,863.000000
1,41,12210.000000
2,41,13413.000000
0,42,840.000000
1,42,12648.000000
2,42,12999.000000
0,43,931.000000
1,43,14305.000000
2,43,22198.000000
0,44,1300.000000
1,44,21964.000000
2,44,13960.000000
0,45,940.000000
1,45,14318.000000
2,45,14595.000000
0,46,869.000000
1,46,15105.000000
2,46,16231.000000
0,47,910.000000
1,47,16161.000000
2,47,17059.000000
0,48,918.000000
1,48,17356.000000
2,48,19012.000000
0,49,914.000000
1,49,18623.000000
2,49,18874.000000
0,50,978.000000
1,50,19414.000000
2,50,25306.000000
0,51,1168.000000
1,51,29995.000000
2,51,23139.000000
0,52,1644.000000
1,52,22962.000000
2,52,24576.000000
0,53,1557.000000
1,53,23550.000000
2,53,25202.000000
0,54,1551.000000
1,54,25305.000000
2,54,32560.000000
0,55,1440.000000
1,55,35090.000000
2,55,30460.000000
0,56,2068.000000
1,56,29472.000000
2,56,27675.000000
0,57,1097.000000
1,57,28107.000000
2,57,28487.000000
0,58,1111.000000
1,58,29629.000000
2,58,30336.000000
0,59,1203.000000
1,59,32616.000000
2,59,36282.000000
0,60,2136.000000
1,60,43055.000000
2,60,39370.000000
0,61,1279.000000
1,61,35279.000000
2,61,34946.000000
0,62,1328.000000
1,62,36369.000000
2,62,36602.000000
0,63,1249.000000
1,63,38182.000000
2,63,55567.000000
0,64,3297.000000
1,64,42938.000000
2,64,40528.000000
0,65,1347.000000
1,65,41658.000000
2,65,45225.000000
0,66,1345.000000
1,66,43858.000000
2,66,53995.000000
0,67,1896.000000
1,67,53836.000000
2,67,46345.000000
0,68,1428.000000
1,68,48151.000000
2,68,48209.000000
0,69,1412.000000
1,69,49823.000000
2,69,65162.000000
0,70,2362.000000
1,70,54242.000000
2,70,54989.000000
0,71,1463.000000
1,71,54647.000000
2,71,67397.000000
0,72,4108.000000
1,72,62276.000000
2,72,58680.000000
0,73,1577.000000
1,73,60043.000000
2,73,59796.000000
0,74,2367.000000
1,74,73227.000000
2,74,74213.000000
0,75,2311.000000
1,75,67781.000000
2,75,66500.000000
0,76,1566.000000
1,76,66251.000000
2,76,79514.000000
0,77,2766.000000
1,77,76395.000000
2,77,71850.000000
0,78,1633.000000
1,78,72465.000000
2,78,88252.000000
0,79,1691.000000
1,79,75422.000000
2,79,76824.000000
0,80,1660.000000
1,80,77488.000000
2,80,97820.000000
0,20,401.000000
1,20,1604.000000
2,20,2334.000000
0,21,409.000000
1,21,1886.000000
2,21,2151.000000
0,22,536.000000
1,22,2703.000000
2,22,3030.000000
0,23,666.000000
1,23,2760.000000
2,23,3294.000000
0,24,700.000000
1,24,3176.000000
2,24,3588.000000
0,25,724.000000
