Type,Intervals,ClockTime
1,334,521.000000
2,334,496.000000
0,335,2069.000000
1,335,513.000000
2,335,519.000000
0,336,2051.000000
1,336,528.000000
2,336,502.000000
0,337,2062.000000
1,337,516.000000
2,337,511.000000
0,338,2077.000000
1,338,509.000000
2,338,501.000000
0,339,2084.000000
1,339,512.000000
2,339,505.000000
0,340,2106.000000
1,340,535.000000
2,340,501.000000
0,341,2100.000000
1,341,531.000000
2,341,508.000000
0,342,2120.000000
1,342,523.000000
2,342,507.000000
0,343,2134.000000
1,343,520.000000
2,343,509.000000
0,344,2140.000000
1,344,520.000000
2,344,529.000000
0,345,2159.000000
1,345,529.000000
2,345,508.000000
0,346,2153.000000
1,346,529.000000
2,346,530.000000
0,347,2165.000000
1,347,525.000000
2,347,514.000000
0,348,2190.000000
1,348,530.000000
2,348,522.000000
0,349,2195.000000
1,349,528.000000
2,349,519.000000
0,350,2215.000000
1,350,528.000000
2,350,516.000000
0,351,2199.000000
1,351,551.000000
2,351,521.000000
0,352,2212.000000
1,352,534.000000
2,352,528.000000
0,353,2241.000000
1,353,534.000000
2,353,521.000000
0,354,2382.000000
1,354,551.000000
2,354,533.000000
0,355,2265.000000
1,355,526.000000
2,355,511.000000
0,356,2232.000000
1,356,545.000000
2,356,520.000000
0,357,2269.000000
1,357,893.000000
2,357,868.000000
0,358,2946.000000
1,358,839.000000
2,358,859.000000
0,359,2813.000000
1,359,548.000000
2,359,531.000000
0,360,2296.000000
1,360,541.000000
2,360,529.000000
0,361,2291.000000
1,361,554.000000
2,361,531.000000
0,362,2338.000000
1,362,546.000000
2,362,542.000000
0,363,2314.000000
1,363,556.000000
2,363,530.000000
0,364,2363.000000
1,364,554.000000
2,364,534.000000
0,365,2349.000000
1,365,552.000000
2,365,534.000000
0,366,2356.000000
1,366,565.000000
2,366,538.000000
0,367,2377.000000
1,367,555.000000
2,367,535.000000
0,368,2386.000000
1,368,572.000000
2,368,542.000000
0,369,2370.000000
1,369,563.000000
2,369,540.000000
0,370,2392.000000
1,370,556.000000
2,370,551.000000
0,371,2394.000000
1,371,559.000000
2,371,552.000000
0,372,2424.000000
1,372,560.000000
2,372,543.000000
0,373,2423.000000
1,373,562.000000
2,373,543.000000
0,374,2427.000000
1,374,571.000000
2,374,544.000000
0,375,2446.000000
1,375,568.000000
2,375,548.000000
0,376,2470.000000
1,376,562.000000
2,376,557.000000
0,377,2459.000000
1,377,580.000000
2,377,554.000000
0,378,2496.000000
1,378,581.000000
2,378,555.000000
0,379,2485.000000
1,379,574.000000
2,379,565.000000
0,380,2483.000000
1,380,575.000000
2,380,555.000000
0,381,2502.000000
1,381,573.000000
2,381,559.000000
0,382,2669.000000
1,382,601.000000
2,382,614.000000
0,383,2537.000000
1,383,574.000000
2,383,573.000000
0,384,2532.000000
1,384,580.000000
2,384,563.000000
0,385,2586.000000
1,385,586.000000
2,385,565.000000
0,386,2614.000000
1,386,578.000000
2,386,554.000000
0,387,2569.000000
1,387,574.000000
2,387,563.000000
0,388,2577.000000
1,388,634.000000
2,388,566.000000
0,389,2585.000000
1,389,582.000000
2,389,566.000000
0,390,2611.000000
1,390,585.000000
2,390,597.000000
0,391,2595.000000
1,391,600.000000
2,391,573.000000
0,392,2627.000000
1,392,600.000000
2,392,575.000000
0,393,2633.000000
1,393,593.000000
2,393,573.000000
0,394,2626.000000
1,394,615.000000
2,394,580.000000
0,395,2634.000000
1,395,586.000000
2,395,584.000000
0,396,2686.000000
1,396,589.000000
2,396,587.000000
0,397,2656.000000
1,397,594.000000
2,397,593.000000
0,398,2692.000000
1,398,595.000000
2,398,588.000000
0,399,2673.000000
1,399,595.000000
2,399,575.000000
0,400,2700.000000
1,400,598.000000
2,400,589.000000
0,401,2718.000000
1,401,620.000000
2,401,585.000000
0,402,2712.000000
1,402,602.000000
2,402,582.000000
0,403,2741.000000
1,403,601.000000
2,403,587.000000
0,404,2746.000000
1,404,612.000000
2,404,587.000000
0,405,2753.000000
1,405,607.000000
2,405,597.000000
0,406,2759.000000
1,406,609.000000
2,406,591.000000
0,407,2783.000000
1,407,611.000000
2,407,596.000000
0,408,2799.000000
1,408,706.000000
2,408,706.000000
0,409,3145.000000
1,409,1030.000000
2,409,989.000000
0,410,3580.000000
1,410,1082.000000
2,410,601.000000
0,411,2812.000000
1,411,606.000000
2,411,586.000000
0,412,2905.000000
1,412,612.000000
2,412,588.000000
0,413,2837.000000
1,413,613.000000
2,413,594.000000
0,414,2834.000000
1,414,630.000000
2,414,596.000000
0,415,2871.000000
1,415,654.000000
2,415,596.000000
0,416,2866.000000
1,416,613.000000
2,416,727.000000
0,417,2879.000000
1,417,616.000000
2,417,597.000000
0,418,2907.000000
1,418,615.000000
2,418,599.000000
0,419,2889.000000
1,419,618.000000
2,419,602.000000
0,420,2898.000000
1,420,617.000000
2,420,601.000000
0,421,2915.000000
1,421,621.000000
2,421,601.000000
0,422,2924.000000
1,422,619.000000
2,422,611.000000
0,423,2948.000000
1,423,625.000000
2,423,604.000000
0,424,2950.000000
1,424,636.000000
2,424,615.000000
0,425,2959.000000
1,425,624.000000
2,425,618.000000
0,426,2992.000000
1,426,627.000000
2,426,626.000000
0,427,2978.000000
1,427,638.000000
2,427,610.000000
0,428,2976.000000
1,428,636.000000
2,428,614.000000
0,429,2993.000000
1,429,641.000000
2,429,616.000000
0,430,3010.000000
1,430,639.000000
2,430,634.000000
0,431,3041.000000
1,431,633.000000
2,431,617.000000
0,432,3177.000000
1,432,684.000000
